Index Number,Stop Number,Common Stop Name,Street Name,Town Name,Latitude,Longitude
IE16978,13578,Mín Lárach,,Meenlaragh Teach Dixon,55.1443,-8.191
IE16979,853000076,Ballybofey,,,54.8001,-7.7788
IE16980,13749,Letterkenny Library,,Letterkenny Library,54.9486,-7.7377
IE16981,853000082,Quigley's Point,,Tasty's Takeaway,55.1252,-7.1959
IE16982,13585,Kilmacrennan,,Post Office- Kilmacrennan,55.0297,-7.7785
IE16983,14174,Kilmacrennan,,Post Office- Kilmacrennan,55.0297,-7.7784
IE16984,13587,Kilmacrennan,,Kilmacrennan,55.0305,-7.7796
IE16985,14175,Kilmacrennan,,Kilmacrennan,55.0304,-7.7797
IE16986,12387,Doirí Beaga,,,55.0783,-8.2898
IE16987,11219,Bundoran Centre,,,54.4779,-8.2802
IE16988,13590,An Fál Carrach,,McGee's Service Station,55.1362,-8.1059
IE16989,13591,An Fál Carrach,,McGee's Service Station,55.1362,-8.1059
IE16990,14597,An Fál Carrach,,McGee's Service Station,55.1365,-8.1039
IE16991,853000115,Ballyshannon,,,54.501,-8.19
IE16992,14662,Ardara,,,54.762,-8.4135
IE16993,631331,Ballintra,,Ballintra,54.578,-8.1249
IE16994,12269,Croithlí,,,55.024,-8.2628
IE16995,13102,Buncrana,,St.Mary's Road,55.1333,-7.4551
IE16996,11257,Carndonagh,,The Diamond,55.2514,-7.2614
IE16997,14842,Carndonagh,Main Street,The Diamond,55.2512,-7.2608
IE16998,11258,Carndonagh,,The Diamond,55.2513,-7.2614
IE16999,13595,An Clochán Liath,,Main Street,54.9493,-8.3605
IE17000,140381,Cill Charthaigh,,Main Street,54.6325,-8.5922
IE17001,140371,Cill Charthaigh,,Main Street,54.6325,-8.5922
IE17002,140321,Killybegs,Main Street,Main Street,54.637,-8.4404
IE17003,13596,An Dúchoraidh,,Doochary,54.9058,-8.2074
IE17004,13103,Na Dúnaibh,,Downings,55.1949,-7.837
IE17005,13104,Na Dúnaibh,,Downings,55.1948,-7.8371
IE17006,853000133,Delvinreagh,,Delvinreagh,55.1592,-7.7199
IE17007,853000134,Delvinreagh,,Delvinreagh,55.1591,-7.72
IE17008,13105,Cranford,,Cranford,55.1397,-7.696
IE17009,13106,Cranford,,Cranford,55.1397,-7.6963
IE17010,12259,Ramelton,,Ramelton,55.037,-7.6488
IE17011,12260,Ramelton,,Ramelton,55.0369,-7.6488
IE17012,13597,Croithlí,,Crolly,55.0265,-8.2607
IE17013,12388,An Céideadh,,Keadue,54.9974,-8.4187
IE17014,853000149,Mullaghduff,,Mullaghduff,55.0253,-8.3344
IE17015,12390,Cionn Caslach,,Kincasslagh,55.0259,-8.3925
IE17016,13107,Glen,,Glen,55.1261,-7.8131
IE17017,13108,Glen,,Glen,55.1263,-7.8127
IE17018,12270,An Clochán Liath,,Dungloe (Sweeney's Hotel),54.9501,-8.3625
IE17019,12267,Portsalon,,Portsalon,55.2058,-7.6364
IE17020,12265,Portsalon,,Portsalon,55.2058,-7.6366
IE17021,11259,Ballyliffin,,Ballyliffan,55.279,-7.3943
IE17022,11260,Ballyliffin,,Ballyliffan,55.279,-7.394
IE17023,12262,Rathmullan,,Post Office,55.094,-7.5381
IE17024,12261,Kerrykeel,,Kerrykeel,55.1373,-7.6661
IE17025,13598,Carraig Airt,,Carrigart,55.1774,-7.7943
IE17026,14596,Carraig Airt,,Carrigart,55.1773,-7.7942
IE17027,853000173,Drumfree,,Drumfree,55.1973,-7.396
IE17028,11262,Clonmany,,Clonmany,55.2635,-7.4135
IE17029,11261,Clonmany,,Clonmany,55.2634,-7.4135
IE17030,13015,Milford,,Milford,55.0877,-7.6983
IE17031,13016,Milford,,Milford,55.0877,-7.6985
IE17032,13017,Silver Tassie Hotel,,Silver Tassie Hotel,54.9872,-7.6686
IE17033,141341,Saint Johnston,,St. Johnston,54.9346,-7.4611
IE17034,13114,Liscooly,,Liscooley,54.8009,-7.6428
IE17035,13115,Liscooly,,Liscooley,54.8011,-7.6427
IE17036,100031,Porthall,,Porthall,54.8728,-7.4649
IE17037,100011,Porthall,,Porthall,54.8728,-7.4651
IE17038,140301,Dunkineely,,Dunkineely,54.632,-8.3593
IE17039,140291,Dunkineely,,Dunkineely,54.632,-8.3592
IE17040,140231,Mountcharles,,Mountcharles PO,54.6458,-8.196
IE17041,140551,Lisnaree,,Convoy X,54.8351,-7.7428
IE17042,13116,Cross Roads,,Crossroads,54.7857,-7.6913
IE17043,13117,Portnoo,,Portnoo,54.8404,-8.4658
IE17044,13118,Portnoo,,Portnoo,54.8406,-8.4658
IE17045,141351,Carrigans,,Post Office,54.9511,-7.4277
IE17046,11215,Málainn Mhóir,,Malinmore,54.6964,-8.7703
IE17047,853000247,Shopping Centre,,Shopping Centre,54.9535,-7.7277
IE17048,13600,Letterkenny Bus Station,,Shopping Centre,54.9536,-7.7277
IE17049,13599,Letterkenny Hospital,,Letterkenny General Hospital,54.9598,-7.7328
IE17050,141381,Killygordon,,Rules Shop,54.7968,-7.6854
IE17051,13601,Rossnowlagh Friary,,Friary,54.5478,-8.2039
IE17052,141291,Saint Johnston,,,54.9347,-7.4611
IE17053,141121,Raphoe,,,54.8738,-7.6001
IE17054,141301,Ballybofey,,,54.8002,-7.7788
IE17055,631151,Ballintra,,,54.5781,-8.125
IE17056,140811,Ballyshannon,Main Street,,54.5009,-8.1897
IE17057,140021,Finner,,,54.4927,-8.2371
IE17058,635841,Bundoran West,,,54.4764,-8.2894
IE17059,158191,Newtowncunningham,,,54.9972,-7.5093
IE17060,141131,Convoy,,,54.86,-7.6636
IE17061,140101,Drumkeen,,,54.869,-7.7493
IE17062,155851,Stranorlar,,,54.8057,-7.7686
IE17063,140121,Killygordon,,,54.7969,-7.6854
IE17064,140241,Mountcharles,,,54.6457,-8.1954
IE17065,158211,Manorcunningham,,,54.9539,-7.6248
IE17066,158201,Manorcunningham,,,54.9528,-7.6251
IE17067,13018,Cockhill,,,55.1499,-7.4442
IE17068,11218,Rossnowlagh,,,54.5548,-8.209
IE17069,13095,Buncrana,,,55.1352,-7.4539
IE17070,13122,Castlefin,,,54.803,-7.5935
IE17071,13123,Cloghfin South,,,54.7939,-7.5512
IE17072,13773,Rosemount Lane,,,54.9494,-7.7332
IE17073,853000357,Arena 7,,,54.957,-7.7063
IE17074,12272,Glenveagh National Park,,,55.0571,-7.9377
IE17075,13753,Killygordon,,,54.7969,-7.683
IE17076,14591,An Luinnigh,,,55.0941,-8.2823
IE17077,853000310,Glashagh Upper,,,55.1153,-8.2874
IE17078,600071,Laghy,,,54.6177,-8.0862
IE17079,600041,Laghy,,,54.6181,-8.0864
IE17080,13603,Market Square,,,54.9491,-7.738
IE17081,13602,Market Square,,,54.9491,-7.7379
IE17082,13767,Ballyraine Park,,,54.9546,-7.7091
IE17083,13765,Elmwood Downs,,,54.9566,-7.6969
IE17084,13762,Tara Court,,,54.9583,-7.6958
IE17085,13763,Carolina Park,,,54.9644,-7.6947
IE17086,13768,Cashel Park,,,54.9683,-7.7116
IE17087,13769,Mountain Top,,,54.977,-7.7251
